aar;Afar;afar
abk;Abkhazian;abkhaze
ace;Achinese;aceh
ach;Acoli;acoli
ada;Adangme;adangme
ady;"Adyghe; Adygei";adyghé
afa;Afro-Asiatic languages;afro-asiatiques, langues
afh;Afrihili;afrihili
afr;Afrikaans;afrikaans
ain;Ainu;aïnou
aka;Akan;akan
akk;Akkadian;akkadien
sqi;Albanian;albanais
ale;Aleut;aléoute
alg;Algonquian languages;algonquines, langues
alt;Southern Altai;altai du Sud
amh;Amharic;amharique
ang;English, Old (ca.450-1100);anglo-saxon (ca.450-1100)
anp;Angika;angika
apa;Apache languages;apaches, langues
ara;Arabic;arabe
arc;"Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)";araméen d'empire (700-300 BCE)
arg;Aragonese;aragonais
hye;Armenian;arménien
arn;"Mapudungun; Mapuche";"mapudungun; mapuche; mapuce"
arp;Arapaho;arapaho
art;Artificial languages;artificielles, langues
arw;Arawak;arawak
asm;Assamese;assamais
ast;"Asturian; Bable; Leonese; Asturleonese";"asturien; bable; léonais; asturoléonais"
ath;Athapascan languages;athapascanes, langues
aus;Australian languages;australiennes, langues
ava;Avaric;avar
ave;Avestan;avestique
awa;Awadhi;awadhi
aym;Aymara;aymara
aze;Azerbaijani;azéri
bad;Banda languages;banda, langues
bai;Bamileke languages;bamiléké, langues
bak;Bashkir;bachkir
bal;Baluchi;baloutchi
bam;Bambara;bambara
ban;Balinese;balinais
eus;Basque;basque
bas;Basa;basa
bat;Baltic languages;baltes, langues
bej;"Beja; Bedawiyet";bedja
bel;Belarusian;biélorusse
bem;Bemba;bemba
ben;Bengali;bengali
ber;Berber languages;berbères, langues
bho;Bhojpuri;bhojpuri
bih;Bihari languages;langues biharis
bik;Bikol;bikol
bin;"Bini; Edo";"bini; edo"
bis;Bislama;bichlamar
bla;Siksika;blackfoot
bnt;Bantu languages;bantou, langues
bod;Tibetan;tibétain
bos;Bosnian;bosniaque
bra;Braj;braj
bre;Breton;breton
btk;Batak languages;batak, langues
bua;Buriat;bouriate
bug;Buginese;bugi
bul;Bulgarian;bulgare
mya;Burmese;birman
byn;"Blin; Bilin";"blin; bilen"
cad;Caddo;caddo
cai;Central American Indian languages;amérindiennes de l'Amérique centrale,  langues
car;Galibi Carib;"karib; galibi; carib"
cat;"Catalan; Valencian";"catalan; valencien"
cau;Caucasian languages;caucasiennes, langues
ceb;Cebuano;cebuano
cel;Celtic languages;"celtiques, langues; celtes, langues"
ces;Czech;tchèque
cha;Chamorro;chamorro
chb;Chibcha;chibcha
che;Chechen;tchétchène
chg;Chagatai;djaghataï
zho;Chinese;chinois
chk;Chuukese;chuuk
chm;Mari;mari
chn;Chinook jargon;chinook, jargon
cho;Choctaw;choctaw
chp;"Chipewyan; Dene Suline";chipewyan
chr;Cherokee;cherokee
chu;"Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic";"slavon d'église; vieux slave; slavon liturgique; vieux bulgare"
chv;Chuvash;tchouvache
chy;Cheyenne;cheyenne
cmc;Chamic languages;chames, langues
cop;Coptic;copte
cor;Cornish;cornique
